consumer_id,cluster_label_dbscan,final_cluster_label,predicted_phase
MTR_A_01,0,0,B
MTR_A_02,2,2,A
MTR_A_03,1,1,C
MTR_A_04,2,2,A
MTR_A_05,2,2,A
MTR_A_06,3,3,B
MTR_B_01,3,3,B
MTR_B_02,1,1,C
MTR_B_03,1,1,C
MTR_B_04,0,0,B
MTR_B_05,1,1,C
MTR_B_06,3,3,B
MTR_C_01,-1,2,A
MTR_C_02,2,2,A
MTR_C_03,0,0,B
MTR_C_04,0,0,B
MTR_C_05,1,1,C
MTR_C_06,2,2,A
MTR_D_01,3,3,B
MTR_D_02,2,2,A
MTR_D_03,3,3,B
MTR_D_04,2,2,A
MTR_D_05,1,1,C
MTR_D_06,2,2,A
MTR_E_01,2,2,A
MTR_E_02,3,3,B
MTR_E_03,1,1,C
MTR_E_04,3,3,B
MTR_E_05,3,3,B
MTR_E_06,1,1,C
MTR_F_01,1,1,C
MTR_F_02,3,3,B
MTR_F_03,3,3,B
MTR_F_04,-1,2,A
MTR_F_05,1,1,C
MTR_F_06,1,1,C
MTR_G_01,2,2,A
MTR_G_02,2,2,A
MTR_G_03,1,1,C
MTR_G_04,2,2,A
MTR_G_05,2,2,A
MTR_G_06,0,0,B
MTR_H_01,2,2,A
MTR_H_02,3,3,B
MTR_H_03,2,2,A
MTR_H_04,2,2,A
MTR_H_05,1,1,C
MTR_H_06,2,2,A
MTR_I_01,0,0,B
MTR_I_02,3,3,B
MTR_I_03,1,1,C
MTR_I_04,3,3,B
MTR_I_05,3,3,B
MTR_I_06,2,2,A
MTR_J_01,1,1,C
MTR_J_02,2,2,A
MTR_J_03,1,1,C
MTR_J_04,1,1,C
MTR_J_05,1,1,C
MTR_J_06,3,3,B
MTR_K_01,1,1,C
MTR_K_02,2,2,A
MTR_K_03,2,2,A
MTR_K_04,3,3,B
MTR_K_05,1,1,C
MTR_K_06,2,2,A
MTR_L_01,2,2,A
MTR_L_02,1,1,C
MTR_L_03,1,1,C
MTR_L_04,2,2,A
MTR_L_05,2,2,A
MTR_L_06,3,3,B
MTR_M_01,2,2,A
MTR_M_02,3,3,B
MTR_M_03,2,2,A
MTR_M_04,1,1,C
MTR_M_05,2,2,A
MTR_M_06,1,1,C
